Datetime,CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,CO(GT)_scaled,NO2(GT)_scaled,NOx(GT)_scaled,C6H6(GT)_scaled,pollution_score,hour,hour_weight,contextual_pollution_score,multi_pollutant_exposure,risk_level,exposure_trend,rising_exposure,high_exposure_flag,persistent_high_exposure,dominant_pollutant,alert,recommendation
2004-03-10 18:00:00,2.6,1360.0,150.0,11.9,1046.0,166.0,1056.0,113.0,1692.0,1268.0,13.6,48.9,0.7578,0.211864406779661,0.32840236686390534,0.11103588354773188,0.18553459119496857,0.2105258028758013,18,1.4,0.2947361240261218,0.2947361240261218,Low,,False,False,False,NO2,NORMAL,Air quality exposure is acceptable.
2004-03-10 19:00:00,2.0,1292.0,112.0,9.4,955.0,103.0,1174.0,92.0,1559.0,972.0,13.3,47.7,0.7255,0.16101694915254236,0.26627218934911245,0.06838185511171292,0.14622641509433962,0.16121387887983696,19,1.4,0.22569943043177174,0.5204355544578936,Low,0.22569943043177176,True,False,False,NO2,NORMAL,Air quality exposure is acceptable.
2004-03-10 20:00:00,2.2,1402.0,88.0,9.0,939.0,131.0,1140.0,114.0,1555.0,1074.0,11.9,54.0,0.7502,0.17796610169491525,0.33136094674556216,0.0873392010832769,0.139937106918239,0.18605228884933211,20,1.4,0.26047320438906496,0.7809087588469585,Moderate,0.26047320438906496,True,False,False,NO2,NORMAL,Air quality exposure is acceptable.
2004-03-10 21:00:00,2.2,1376.0,80.0,9.2,948.0,172.0,1092.0,122.0,1584.0,1203.0,11.0,60.0,0.7867,0.17796610169491525,0.3550295857988166,0.11509817197020987,0.1430817610062893,0.19953812215198904,21,1.4,0.2793533710127846,1.0602621298597432,Moderate,0.2793533710127847,True,False,False,NO2,NORMAL,Air quality exposure is acceptable.
2004-03-10 22:00:00,1.6,1272.0,51.0,6.5,836.0,131.0,1205.0,116.0,1490.0,1110.0,11.2,59.6,0.7888,0.1271186440677966,0.33727810650887574,0.0873392010832769,0.10062893081761007,0.16441570628189914,22,1.0,0.16441570628189914,1.2246778361416424,High,0.16441570628189917,True,False,False,NO2,NORMAL,Air quality exposure is acceptable.
2004-03-10 23:00:00,1.2,1197.0,38.0,4.7,750.0,89.0,1337.0,96.0,1393.0,949.0,11.2,59.2,0.7848,0.09322033898305083,0.2781065088757397,0.058903182125930945,0.07232704402515723,0.12668393325036434,23,1.0,0.12668393325036434,1.3513617693920066,High,0.1266839332503642,True,False,False,NO2,NORMAL,Air quality exposure is acceptable.
2004-03-11 00:00:00,1.2,1185.0,31.0,3.6,690.0,62.0,1462.0,77.0,1333.0,733.0,11.3,56.8,0.7603,0.09322033898305083,0.22189349112426035,0.04062288422477996,0.055031446540880505,0.10460148484035142,0,0.8,0.08368118787228114,1.1403068332381658,High,-0.21105493615384074,False,False,False,NO2,NORMAL,Air quality exposure is acceptable.
2004-03-11 01:00:00,1.0,1136.0,31.0,3.3,672.0,62.0,1453.0,76.0,1333.0,730.0,10.7,60.0,0.7702,0.07627118644067796,0.21893491124260353,0.04062288422477996,0.05031446540880503,0.09783369788081026,1,0.8,0.07826695830464821,0.9928743611110424,Moderate,-0.1474324721271234,False,False,False,NO2,NORMAL,Air quality exposure is acceptable.
2004-03-11 02:00:00,0.9,1094.0,24.0,2.3,609.0,45.0,1579.0,60.0,1276.0,620.0,10.7,59.7,0.7648,0.06779661016949153,0.17159763313609466,0.029113067027758968,0.03459119496855346,0.07743489708552155,2,0.8,0.06194791766841724,0.7943490743903947,Moderate,-0.19852528672064773,False,False,False,NO2,NORMAL,Air quality exposure is acceptable.
2004-03-11 03:00:00,0.6,1010.0,19.0,1.7,561.0,33.0,1705.0,47.0,1235.0,501.0,10.3,60.2,0.7517,0.0423728813559322,0.1331360946745562,0.020988490182802976,0.025157232704402514,0.056274457161999955,3,0.8,0.04501956572959997,0.56001526910721,Low,-0.2343338052831847,False,False,False,NO2,NORMAL,Air quality exposure is acceptable.
2004-03-11 04:00:00,0.6499999999999999,1011.0,14.0,1.3,527.0,21.0,1818.0,34.0,1197.0,445.0,10.1,60.5,0.7465,0.04661016949152542,0.09467455621301775,0.012863913337846986,0.01886792452830189,0.04464125314083418,4,0.8,0.03571300251266735,0.4313125653379783,Low,-0.1287027037692317,False,False,False,NO2,NORMAL,Air quality exposure is acceptable.
2004-03-11 05:00:00,0.7,1066.0,8.0,1.1,512.0,16.0,1918.0,28.0,1182.0,422.0,11.0,56.2,0.7366,0.05084745762711864,0.07692307692307691,0.00947867298578199,0.015723270440251576,0.03999932885340063,5,0.8,0.0319994630827205,0.33662809517033443,Low,-0.09468447016764386,False,False,False,NO2,NORMAL,Air quality exposure is acceptable.
2004-03-11 06:00:00,0.7,1052.0,16.0,1.6,553.0,34.0,1738.0,48.0,1221.0,472.0,10.5,58.1,0.7353,0.05084745762711864,0.13609467455621302,0.021665538253215978,0.02358490566037736,0.05941127162256832,6,1.0,0.05941127162256832,0.3123581789206216,Low,-0.02426991624971281,False,False,False,NO2,NORMAL,Air quality exposure is acceptable.
2004-03-11 07:00:00,1.1,1144.0,29.0,3.2,667.0,98.0,1490.0,82.0,1339.0,730.0,10.2,59.6,0.7417,0.0847457627118644,0.23668639053254437,0.06499661475964792,0.04874213836477988,0.11059290780956336,7,1.3,0.1437707801524324,0.37786200076840576,Low,0.06550382184778414,True,False,False,NO2,NORMAL,Air quality exposure is acceptable.
2004-03-11 08:00:00,2.0,1333.0,64.0,8.0,900.0,174.0,1136.0,112.0,1517.0,1102.0,10.8,57.4,0.7408,0.16101694915254236,0.3254437869822485,0.11645226811103587,0.12421383647798742,0.18362186581468126,8,1.3,0.23870842555908564,0.5546225086590741,Low,0.17676050789066838,True,False,False,NO2,NORMAL,Air quality exposure is acceptable.
2004-03-11 09:00:00,2.2,1351.0,87.0,9.5,960.0,129.0,1079.0,101.0,1583.0,1028.0,10.5,60.6,0.7691,0.17796610169491525,0.29289940828402367,0.0859851049424509,0.14779874213836477,0.17767070724276618,9,1.3,0.23097191941559603,0.7405748623450702,Moderate,0.18595235368599605,True,False,False,NO2,NORMAL,Air quality exposure is acceptable.
2004-03-11 10:00:00,1.7,1233.0,77.0,6.3,827.0,112.0,1218.0,98.0,1446.0,860.0,10.8,58.4,0.7552,0.13559322033898302,0.28402366863905326,0.07447528774542991,0.09748427672955974,0.14979956054372764,10,1.3,0.19473942870684594,0.8996012885392488,Moderate,0.15902642619417862,True,False,False,NO2,NORMAL,Air quality exposure is acceptable.
2004-03-11 11:00:00,1.5,1179.0,43.0,5.0,762.0,95.0,1328.0,92.0,1362.0,671.0,10.5,57.9,0.7352,0.11864406779661016,0.26627218934911245,0.06296547054840892,0.0770440251572327,0.13331144034480993,11,1.0,0.13331144034480993,1.0009132658013382,Moderate,0.1013119772620894,True,False,False,NO2,NORMAL,Air quality exposure is acceptable.
2004-03-11 12:00:00,1.6,1236.0,61.0,5.2,774.0,104.0,1301.0,95.0,1401.0,664.0,9.5,66.8,0.7951,0.1271186440677966,0.27514792899408286,0.06905890318212593,0.08018867924528303,0.14022503711344778,12,1.0,0.14022503711344778,1.0817270312922176,High,0.08081376549087937,True,False,False,NO2,NORMAL,Air quality exposure is acceptable.
2004-03-11 13:00:00,1.9,1286.0,63.0,7.3,869.0,146.0,1162.0,112.0,1537.0,799.0,8.3,76.4,0.8393,0.15254237288135591,0.3254437869822485,0.09749492213947189,0.11320754716981132,0.17413889857879913,13,1.0,0.17413889857879913,1.1120951497185845,High,0.030368118426366886,True,False,False,NO2,NORMAL,Air quality exposure is acceptable.
2004-03-11 14:00:00,2.9,1371.0,164.0,11.5,1034.0,207.0,983.0,128.0,1730.0,1037.0,8.0,81.1,0.8736,0.23728813559322032,0.3727810650887574,0.13879485443466485,0.1792452830188679,0.23492947716259524,14,1.0,0.23492947716259524,1.108316201322094,High,-0.0037789483964905113,False,False,False,NO2,NORMAL,Air quality exposure is acceptable.
2004-03-11 15:00:00,2.2,1310.0,79.0,8.8,933.0,184.0,1082.0,126.0,1647.0,946.0,8.3,79.8,0.8778,0.17796610169491525,0.36686390532544383,0.12322274881516587,0.1367924528301887,0.20326998460966472,15,1.0,0.20326998460966472,1.0806142665161627,High,-0.027701934805931305,False,False,False,NO2,NORMAL,Air quality exposure is acceptable.
2004-03-11 16:00:00,2.2,1292.0,95.0,8.3,912.0,193.0,1103.0,131.0,1591.0,957.0,9.7,71.2,0.8569,0.17796610169491525,0.3816568047337278,0.12931618144888288,0.1289308176100629,0.20691924057613983,16,1.0,0.20691924057613983,1.0927940783854566,High,0.012179811869293955,True,False,False,NO2,NORMAL,Air quality exposure is acceptable.
2004-03-11 17:00:00,2.9,1383.0,150.0,11.2,1020.0,243.0,1008.0,135.0,1719.0,1104.0,9.8,67.6,0.8185,0.23728813559322032,0.39349112426035504,0.16316858496953285,0.17452830188679244,0.24525702836279656,17,1.4,0.34335983970791517,1.3028424777485619,High,0.21004839936310526,True,False,False,NO2,NORMAL,Air quality exposure is acceptable.
2004-03-11 18:00:00,4.8,1581.0,307.0,20.8,1319.0,281.0,799.0,151.0,2083.0,1409.0,10.3,64.2,0.8065,0.3983050847457627,0.44082840236686394,0.1888964116452268,0.3254716981132076,0.34201706854939296,18,1.4,0.4788238959691501,1.6414413366042644,Very High,0.3385988588557025,True,True,False,NO2,HIGH: Exposure is increasing,"Exposure is rising, mainly caused by NO2. Monitor conditions closely and limit prolonged exposure."
2004-03-11 19:00:00,6.9,1776.0,461.0,27.4,1488.0,383.0,702.0,172.0,2333.0,1704.0,9.7,69.3,0.8319,0.576271186440678,0.5029585798816567,0.25795531482735273,0.4292452830188679,0.4489588862132293,19,1.4,0.628542440698521,2.095844878723986,Very High,0.45440354211972167,True,True,True,CO,CRITICAL: Persistent exposure and current pollution spike,"Critical risk mainly caused by CO. Avoid outdoor activity, close windows, and activate air purification."
2004-03-11 20:00:00,6.1,1640.0,401.0,24.0,1404.0,351.0,743.0,165.0,2191.0,1654.0,9.6,67.8,0.8133,0.5084745762711864,0.4822485207100592,0.23628977657413677,0.3757861635220126,0.4073341799068074,20,1.4,0.5702678518695303,2.4311832534309215,Very High,0.3353383747069354,True,True,True,CO,CRITICAL: Persistent exposure and current pollution spike,"Critical risk mainly caused by CO. Avoid outdoor activity, close windows, and activate air purification."
2004-03-11 21:00:00,3.9,1313.0,197.0,12.8,1076.0,240.0,957.0,136.0,1707.0,1285.0,9.1,64.0,0.7419,0.3220338983050847,0.39644970414201186,0.16113744075829384,0.19968553459119498,0.27594406263484084,21,1.4,0.38632168768877717,2.6142349565100336,Very High,0.18305170307911212,True,True,True,NO2,HIGH: Persistent accumulated exposure,Persistent high exposure mainly caused by NO2. Reduce exposure and avoid unnecessary outdoor movement.
2004-03-11 22:00:00,1.5,965.0,61.0,4.7,749.0,94.0,1325.0,85.0,1333.0,821.0,8.2,63.4,0.6905,0.11864406779661016,0.2455621301775148,0.06228842247799594,0.07232704402515723,0.12702126730789218,22,1.0,0.12702126730789218,2.534336983241786,Very High,-0.07989797326824766,False,True,True,NO2,HIGH: Persistent accumulated exposure,Persistent high exposure mainly caused by NO2. Reduce exposure and avoid unnecessary outdoor movement.
2004-03-11 23:00:00,1.0,913.0,26.0,2.6,629.0,47.0,1565.0,53.0,1252.0,552.0,8.2,60.8,0.6657,0.07627118644067796,0.15088757396449703,0.030467163168584967,0.039308176100628936,0.07608167543559967,23,1.0,0.07608167543559967,2.2670588189694705,Very High,-0.26727816427231543,False,True,True,NO2,HIGH: Persistent accumulated exposure,Persistent high exposure mainly caused by NO2. Reduce exposure and avoid unnecessary outdoor movement.
2004-03-12 00:00:00,1.7,1080.0,55.0,5.9,805.0,122.0,1254.0,97.0,1375.0,816.0,8.3,58.5,0.6438,0.13559322033898302,0.28106508875739644,0.08124576844955991,0.09119496855345913,0.14949467411412581,0,0.8,0.11959573929130066,1.907830662291621,Very High,-0.35922815667784946,False,True,True,NO2,HIGH: Persistent accumulated exposure,Persistent high exposure mainly caused by NO2. Reduce exposure and avoid unnecessary outdoor movement.
2004-03-12 01:00:00,1.9,1044.0,53.0,6.4,829.0,133.0,1247.0,110.0,1378.0,832.0,7.7,59.7,0.6308,0.15254237288135591,0.31952662721893493,0.08869329722410291,0.09905660377358491,0.1676290137298832,1,0.8,0.13410321098390657,1.4133914325770065,High,-0.4944392297146145,False,False,True,NO2,HIGH: Persistent accumulated exposure,Persistent high exposure mainly caused by NO2. Reduce exposure and avoid unnecessary outdoor movement.
2004-03-12 02:00:00,1.4,988.0,40.0,4.1,718.0,82.0,1396.0,91.0,1304.0,692.0,7.1,61.8,0.6276,0.11016949152542371,0.26331360946745563,0.05416384563303995,0.06289308176100629,0.12499882758495226,2,0.8,0.09999906206796182,0.943122642775438,Moderate,-0.4702687898015685,False,False,False,NO2,NORMAL,Air quality exposure is acceptable.
2004-03-12 03:00:00,0.8,889.0,21.0,1.9,574.0,51.5,1680.0,61.5,1187.0,512.0,7.0,62.3,0.6261,0.059322033898305086,0.17603550295857986,0.03351387948544347,0.028301886792452827,0.07584433313898793,3,0.8,0.06067546651119035,0.6174764215978512,Low,-0.3256462211775868,False,False,False,NO2,NORMAL,Air quality exposure is acceptable.
2004-03-12 04:00:00,0.7,831.0,10.0,1.1,506.0,21.0,1893.0,32.0,1134.0,384.0,6.1,65.9,0.6248,0.05084745762711864,0.08875739644970414,0.012863913337846986,0.015723270440251576,0.043804218823073685,4,0.8,0.03504337505845895,0.525498529348418,Low,-0.0919778922494332,False,False,False,NO2,NORMAL,Air quality exposure is acceptable.
2004-03-12 05:00:00,0.6,847.0,7.0,1.0,501.0,30.0,1895.0,44.0,1155.0,394.0,6.3,65.0,0.6233,0.0423728813559322,0.1242603550295858,0.01895734597156398,0.014150943396226415,0.05134647833631239,5,0.8,0.041077182669049916,0.49049403658186824,Low,-0.035004492766549766,False,False,False,NO2,NORMAL,Air quality exposure is acceptable.
